,source_accuracy,target_accuracy,source_auc,target_auc,replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan
88,0.944,0.64,0.9903719999999999,,2,16,0.001,0.001,0.001,1.0,50,0.0,50,True
89,0.95,0.52,0.9910720000000001,,8,16,0.001,0.001,0.001,1.0,50,0.0,50,True
90,0.945,0.4,0.989808,,1,16,0.001,0.001,0.001,1.0,50,1.0,50,True
91,0.951,0.56,0.990808,,6,16,0.001,0.001,0.001,1.0,50,1.0,50,True
92,0.943,0.44,0.990796,,8,16,0.001,0.001,0.001,1.0,50,1.0,50,True
93,0.956,0.46,0.9914520000000001,,2,16,0.001,0.001,0.001,1.0,50,1.0,50,True
94,0.949,0.56,0.989912,,5,16,0.001,0.001,0.001,1.0,50,1.0,50,True
95,0.948,0.68,0.9905079999999999,,7,16,0.001,0.001,0.001,1.0,50,1.0,50,True
96,0.949,0.56,0.990884,,4,16,0.001,0.001,0.001,1.0,50,1.0,50,True
97,0.956,0.62,0.991876,,3,16,0.001,0.001,0.001,1.0,50,1.0,50,True
98,0.5,0.0,0.5,,9,16,0.001,0.001,0.001,1.0,50,1.0,50,True
99,0.945,0.58,0.9901040000000001,,10,16,0.001,0.001,0.001,1.0,50,1.0,50,True
100,0.947,0.9387755102040817,0.990316,0.9954954954954955,10,16,0.001,0.001,0.001,0.0,50,0.25,50,True
101,0.951,0.9591836734693877,0.9909279999999999,0.9909909909909911,9,16,0.001,0.001,0.001,0.0,50,0.25,50,True
102,0.953,0.9591836734693877,0.991688,1.0,3,16,0.001,0.001,0.001,0.0,50,0.25,50,True
103,0.954,0.8571428571428571,0.9899759999999999,0.9481981981981982,4,16,0.001,0.001,0.001,0.0,50,0.25,50,True
104,0.947,0.8571428571428571,0.990608,0.9617117117117118,7,16,0.001,0.001,0.001,0.0,50,0.25,50,True
105,0.948,0.8979591836734694,0.98998,0.9684684684684686,5,16,0.001,0.001,0.001,0.0,50,0.25,50,True
106,0.945,0.9183673469387755,0.992056,0.9864864864864865,2,16,0.001,0.001,0.001,0.0,50,0.25,50,True
107,0.949,0.8775510204081632,0.991388,0.9504504504504505,8,16,0.001,0.001,0.001,0.0,50,0.25,50,True
108,0.95,0.8571428571428571,0.9909720000000001,0.7927927927927928,6,16,0.001,0.001,0.001,0.0,50,0.25,50,True
109,0.945,0.9591836734693877,0.990964,0.9932432432432432,1,16,0.001,0.001,0.001,0.0,50,0.25,50,True
110,0.951,0.7959183673469388,0.989856,0.9099099099099099,1,16,0.001,0.001,0.001,0.1,50,0.75,50,True
111,0.952,0.8367346938775511,0.9915839999999999,0.9752252252252251,6,16,0.001,0.001,0.001,0.1,50,0.75,50,True
112,0.948,0.8163265306122449,0.991424,0.972972972972973,2,16,0.001,0.001,0.001,0.1,50,0.75,50,True
113,0.945,0.9387755102040817,0.991052,0.9842342342342343,8,16,0.001,0.001,0.001,0.1,50,0.75,50,True
114,0.949,0.8775510204081632,0.990492,0.9797297297297298,5,16,0.001,0.001,0.001,0.1,50,0.75,50,True
115,0.945,0.9387755102040817,0.990332,0.9887387387387387,7,16,0.001,0.001,0.001,0.1,50,0.75,50,True
116,0.949,0.9591836734693877,0.99164,0.9932432432432433,4,16,0.001,0.001,0.001,0.1,50,0.75,50,True
