,source_accuracy,target_accuracy,source_auc,target_auc,replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan
157,0.998,0.7959183673469388,1.0,0.9031531531531533,2,16,0.001,0.001,0.001,0.0,50,0.25,50,True
158,1.0,0.8367346938775511,1.0,0.9346846846846847,8,16,0.001,0.001,0.001,0.0,50,0.25,50,True
159,1.0,0.7755102040816326,1.0,0.8457207207207207,5,16,0.001,0.001,0.001,0.0,50,0.25,50,True
160,1.0,0.48,1.0,,6,16,0.001,0.001,0.001,0.1,50,1.0,50,True
161,0.999,0.18,1.0,,1,16,0.001,0.001,0.001,0.1,50,1.0,50,True
162,1.0,0.48,1.0,,5,16,0.001,0.001,0.001,0.1,50,1.0,50,True
163,0.999,0.92,1.0,,2,16,0.001,0.001,0.001,0.1,50,1.0,50,True
164,1.0,0.48,1.0,,8,16,0.001,0.001,0.001,0.1,50,1.0,50,True
165,0.998,0.56,1.0,,7,16,0.001,0.001,0.001,0.1,50,1.0,50,True
166,1.0,0.48,1.0,,9,16,0.001,0.001,0.001,0.1,50,1.0,50,True
167,1.0,0.26,1.0,,3,16,0.001,0.001,0.001,0.1,50,1.0,50,True
168,1.0,0.56,1.0,,10,16,0.001,0.001,0.001,0.1,50,1.0,50,True
169,1.0,0.98,1.0,,4,16,0.001,0.001,0.001,0.1,50,1.0,50,True
170,1.0,0.58,1.0,,4,16,0.001,0.001,0.001,0.1,50,0.0,50,True
171,1.0,0.92,1.0,,3,16,0.001,0.001,0.001,0.1,50,0.0,50,True
172,0.999,0.42,1.0,,9,16,0.001,0.001,0.001,0.1,50,0.0,50,True
173,0.996,0.64,1.0,,10,16,0.001,0.001,0.001,0.1,50,0.0,50,True
174,0.998,0.66,0.999992,,7,16,0.001,0.001,0.001,0.1,50,0.0,50,True
175,0.998,0.6,1.0,,8,16,0.001,0.001,0.001,0.1,50,0.0,50,True
176,1.0,0.56,1.0,,2,16,0.001,0.001,0.001,0.1,50,0.0,50,True
