,source_accuracy,target_accuracy,source_auc,target_auc,replicate,batch_size,learning_rate,enc_learning_rate,disc_learning_rate,lambda_val,target_num,target_prop,epochs,iwcdan
81,1.0,0.5,1.0,,9,16,0.001,0.001,0.001,0.0,50,1.0,50,False
82,1.0,0.44,1.0,,3,16,0.001,0.001,0.001,0.0,50,1.0,50,False
83,1.0,0.62,1.0,,10,16,0.001,0.001,0.001,0.0,50,1.0,50,False
84,1.0,0.46,1.0,,4,16,0.001,0.001,0.001,0.0,50,1.0,50,False
85,1.0,0.56,1.0,,6,16,0.001,0.001,0.001,0.0,50,1.0,50,False
86,1.0,0.82,1.0,,1,16,0.001,0.001,0.001,0.0,50,1.0,50,False
87,1.0,0.58,1.0,,5,16,0.001,0.001,0.001,0.0,50,1.0,50,False
88,1.0,0.74,1.0,,2,16,0.001,0.001,0.001,0.0,50,1.0,50,False
89,1.0,0.88,1.0,,8,16,0.001,0.001,0.001,0.0,50,1.0,50,False
90,0.999,0.76,1.0,0.7928,6,16,0.001,0.001,0.001,0.5,50,0.5,50,False
91,0.997,0.96,1.0,1.0,1,16,0.001,0.001,0.001,0.5,50,0.5,50,False
92,0.998,0.94,1.0,0.9648,5,16,0.001,0.001,0.001,0.5,50,0.5,50,False
93,1.0,0.94,1.0,0.9336,2,16,0.001,0.001,0.001,0.5,50,0.5,50,False
94,0.996,0.94,0.999532,0.9280000000000002,8,16,0.001,0.001,0.001,0.5,50,0.5,50,False
95,1.0,0.98,1.0,0.98,7,16,0.001,0.001,0.001,0.5,50,0.5,50,False
96,0.998,0.9,1.0,0.9384000000000001,9,16,0.001,0.001,0.001,0.5,50,0.5,50,False
97,0.999,0.96,1.0,0.9728,3,16,0.001,0.001,0.001,0.5,50,0.5,50,False
98,0.997,0.94,1.0,0.96,10,16,0.001,0.001,0.001,0.5,50,0.5,50,False
99,0.997,0.96,1.0,0.9968,4,16,0.001,0.001,0.001,0.5,50,0.5,50,False
100,0.999,0.8,1.0,0.8976,7,16,0.001,0.001,0.001,0.0,50,0.5,50,False
101,0.999,0.9,1.0,0.9536,10,16,0.001,0.001,0.001,0.0,50,0.5,50,False
102,1.0,0.68,1.0,0.8576,3,16,0.001,0.001,0.001,0.0,50,0.5,50,False
103,1.0,0.68,1.0,0.8328,9,16,0.001,0.001,0.001,0.0,50,0.5,50,False
