Species,Sample ID,Sex,Subpopulation,BioSample ID,Publication,Lat,Lon
Brown Bear,SouthNorway4,,MidScand,SAMN32301376, de Jong et al. 2023,63.16666,10.3333
Brown Bear,SouthNorway6,,MidScand,SAMN32301378, de Jong et al. 2023,63.16666,10.3333
Brown Bear,SouthNorway7,,MidScand,SAMN32301379, de Jong et al. 2023,63.16666,10.3333
Brown Bear,Norway1,,NorthScand,SAMN32301358, de Jong et al. 2023,69.96887,23.27165
Brown Bear,Norway2,,NorthScand,SAMN32301359, de Jong et al. 2023,69.96887,23.27165
Brown Bear,Norway3,,NorthScand,SAMN32301360, de Jong et al. 2023,69.4439,25.80482
Brown Bear,Norway4,,NorthScand,SAMN32301361, de Jong et al. 2023,69.4439,25.80482
Brown Bear,Kirkenes,,NorthScand,SAMN32301362, de Jong et al. 2023,69.72706,30.04578
Brown Bear,Norway6,,NorthScand,SAMN32301363, de Jong et al. 2023,70.483,26.0135
Brown Bear,Norway8,,NorthScand,SAMN32301365, de Jong et al. 2023,70.483,26.0135
Brown Bear,Russia_Kola1,,NorthScand,SAMN32301371, de Jong et al. 2023,68.979,33.09
Brown Bear,Russia_Kola3,,NorthScand,SAMN32301372, de Jong et al. 2023,68.979,33.09
Brown Bear,Amur4,,Sakhalin,SAMN32301315, de Jong et al. 2023,48,142.2532
Brown Bear,SouthSweden,F,SouthScand,SAMN02256313,Liu et al. 2014,62.73334,17.58332
Brown Bear,Sweden3,,SouthScand,SAMN03252407,Cahill et al. 2015,61.00487,14.53714
Brown Bear,SouthNorway1,,SouthScand,SAMN32301373, de Jong et al. 2023,60.83333,11.6666
Brown Bear,SouthNorway2,,SouthScand,SAMN32301374, de Jong et al. 2023,60.83333,11.6666
Brown Bear,SouthNorway3,,SouthScand,SAMN32301375, de Jong et al. 2023,60.83333,11.6666
Brown Bear,SouthNorway5,,SouthScand,SAMN32301377, de Jong et al. 2023,63.16666,10.3333
Brown Bear,CentralRussia1,,Ural,SAMN32301329, de Jong et al. 2023,55.5,80.5
Brown Bear,CentralRussia5,,Ural,SAMN32301333, de Jong et al. 2023,57.6,57.6
Brown Bear,Ural1,,Ural,SAMN32301381, de Jong et al. 2023,58,56.31667
Brown Bear,Ural2,,Ural,SAMN32301382, de Jong et al. 2023,58,56.31667
Brown Bear,Ural3,,Ural,SAMN32301383, de Jong et al. 2023,58,56.31667
Brown Bear,Ural4,,Ural,SAMN32301384, de Jong et al. 2023,58,56.31667
Brown Bear,Ural5,,Ural,SAMN32301385, de Jong et al. 2023,60.3262,56.423
Brown Bear,Ural6,,Ural,SAMN32301386, de Jong et al. 2023,63.3162,42.533
Brown Bear,Montana,NA,Westcoast,SAMN02256322,Liu et al. 2014,46.96526,-109.534
Brown Bear,Canada1,,Westcoast,SAMN32301317, de Jong et al. 2023,49.93,-117.627
Brown Bear,US1,,Westcoast,SAMN32301387, de Jong et al. 2023,44.0682,-114.742
Brown Bear,US2,,Westcoast,SAMN32301388, de Jong et al. 2023,48.1978,-114.316
Brown Bear,US3,,Westcoast,SAMN32301389, de Jong et al. 2023,44.03971,-109.541
Brown Bear,US6,,Westcoast,SAMN32301390, de Jong et al. 2023,48.8,-117.255
Brown Bear,US8,,Westcoast,SAMN32301391, de Jong et al. 2023,44.56,-111.444
Brown Bear,Amur5,,Yakutia,SAMN32301316, de Jong et al. 2023,57.645,136.23
Brown Bear,FarEast6,,Yakutia,SAMN32301340, de Jong et al. 2023,56.65,124.7
Brown Bear,FarEast7,,Yakutia,SAMN32301341, de Jong et al. 2023,64.31348,133.5363
Brown Bear,FarEast8,,Yakutia,SAMN32301342, de Jong et al. 2023,60.02505,123.3926
Brown Bear,FarEast9,,Yakutia,SAMN32301343, de Jong et al. 2023,64.16806,116.4672
Polar Bear,BB02,F,BB,SAMN02261811,Liu et al. 2014,73,-65
Polar Bear,BB06,M,BB,SAMN02261854,Liu et al. 2014,73,-65
Polar Bear,BB05,M,BB,SAMN02261868,Liu et al. 2014,73,-65
Polar Bear,BB04,M,BB,SAMN02261870,Liu et al. 2014,73,-65
Polar Bear,BB03,M,BB,SAMN02261871,Liu et al. 2014,73,-65
Polar Bear,BB01,F,BB,SAMN02261880,Liu et al. 2014,73,-65
Polar Bear,2372KF,M,CS,SAMN19922659,Laidre et al. 2022,65,-168
Polar Bear,950089KA,F,CS,SAMN19922660,Laidre et al. 2022,65,-168
Polar Bear,980387KB,F,CS,SAMN19922661,Laidre et al. 2022,65,-168
Polar Bear,KB01,M,KB,SAMN02231732,Liu et al. 2014,77,-75
Polar Bear,KB06,M,KB,SAMN02261840,Liu et al. 2014,77,-75
Polar Bear,KB05,F,KB,SAMN02261845,Liu et al. 2014,77,-75
Polar Bear,KB03,F,KB,SAMN02261851,Liu et al. 2014,77,-75
Polar Bear,KB04,M,KB,SAMN02261853,Liu et al. 2014,77,-75
Polar Bear,KB02,F,KB,SAMN02261865,Liu et al. 2014,77,-75
Polar Bear,EG04,F,Northeast Greenland,SAMN02261805,Liu et al. 2014,70.5,-22
Polar Bear,EG02,F,Northeast Greenland,SAMN02261819,Liu et al. 2014,70.5,-22
Polar Bear,EG03,F,Northeast Greenland,SAMN02261821,Liu et al. 2014,70.5,-22
Polar Bear,EG05,F,Northeast Greenland,SAMN02261826,Liu et al. 2014,70.5,-22
Polar Bear,EG06,F,Northeast Greenland,SAMN02261858,Liu et al. 2014,70.5,-22
Polar Bear,EG01,F,Northeast Greenland,SAMN02261878,Liu et al. 2014,70.5,-22
Polar Bear,D24033,F,Northeast Greenland,SAMN10734296,Laidre et al. 2022,70.5,-22
Polar Bear,D24080,M,Northeast Greenland,SAMN16454143,Laidre et al. 2022,70.5,-22
Polar Bear,D24082,F,Northeast Greenland,SAMN16454145,Laidre et al. 2022,70.5,-22
Polar Bear,D24084,F,Northeast Greenland,SAMN16454146,Laidre et al. 2022,70.5,-22
Polar Bear,D24105,M,Northeast Greenland,SAMN16454158,Laidre et al. 2022,70.5,-22
Polar Bear,D24109,F,Northeast Greenland,SAMN16454160,Laidre et al. 2022,70.5,-22
Polar Bear,polarSvalbard2,,polar,SAMN01057636,Miller et al. 2012,79,17.6
Polar Bear,polarSvalbard1,,polar,SAMN01057666,Miller et al. 2012,79,17.6
Polar Bear,polar4,,?,SAMN02231733,Liu et al. 2014,70.78,-22.91
Polar Bear,polar1,,?,SAMN02231736,Liu et al. 2014,70.78,-22.91
Polar Bear,970201KA,M,SB,SAMN19922662,Laidre et al. 2022,70,-152
Polar Bear,990083KD,M,SB,SAMN19922663,Laidre et al. 2022,70,-152
Polar Bear,990671KB,F,SB,SAMN19922664,Laidre et al. 2022,70,-152
Polar Bear,D24101,F,Southeast Greenland,SAMN10734297,Laidre et al. 2022,62,-42
Polar Bear,D24087,M,Southeast Greenland,SAMN16454148,Laidre et al. 2022,62,-42
Polar Bear,D24090,F,Southeast Greenland,SAMN16454149,Laidre et al. 2022,62,-42
Polar Bear,D24051,M,Southeast Greenland,SAMN16454151,Laidre et al. 2022,62,-42
Polar Bear,D24094,F,Southeast Greenland,SAMN16454152,Laidre et al. 2022,62,-42
Polar Bear,D24095,F,Southeast Greenland,SAMN16454153,Laidre et al. 2022,62,-42
Polar Bear,D24097,F,Southeast Greenland,SAMN16454154,Laidre et al. 2022,62,-42
Polar Bear,D24098,F,Southeast Greenland,SAMN16454155,Laidre et al. 2022,62,-42
Polar Bear,D24099,M,Southeast Greenland,SAMN16454156,Laidre et al. 2022,62,-42
Polar Bear,D24102,F,Southeast Greenland,SAMN16454157,Laidre et al. 2022,62,-42
