sample_accession,run_accession,library_layout,read1,read2,read1_md5,read2_md5
SAMN32301370,SRR22801809,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/009/SRR22801809/SRR22801809_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/009/SRR22801809/SRR22801809_2.fastq.gz,75ab15ba8809e0981279cff05a80a77d,49a8802a6df43df7d3f1af4fb5b63dfe
SAMN32301371,SRR22801808,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/008/SRR22801808/SRR22801808_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/008/SRR22801808/SRR22801808_2.fastq.gz,edb864c57a86b8d67c0a579c1da88637,bf3226c5054c5940705bb1d3692f4181
SAMN32301372,SRR22801866,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/066/SRR22801866/SRR22801866_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/066/SRR22801866/SRR22801866_2.fastq.gz,dfeff12ec4b19dbb82b12e91db0dccdf,d72d81ac9a919a95c727c36169d40f59
SAMN32301373,SRR22801865,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/065/SRR22801865/SRR22801865_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/065/SRR22801865/SRR22801865_2.fastq.gz,8187f29cb4a9dea75906afc9fb8049b9,0c882fe0e0a6d0103dee8acba1f702f4
SAMN32301374,SRR22801864,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/064/SRR22801864/SRR22801864_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/064/SRR22801864/SRR22801864_2.fastq.gz,a59d434f5930520f6c43a870be5b2af2,b938c24cfb422ec68e606deeec6143e8
SAMN32301375,SRR22801863,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/063/SRR22801863/SRR22801863_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/063/SRR22801863/SRR22801863_2.fastq.gz,8ae853e6ef3505a26684cdd9d883a101,1520894e050444ec0f0ee98689fe649f
SAMN32301376,SRR22801862,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/062/SRR22801862/SRR22801862_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/062/SRR22801862/SRR22801862_2.fastq.gz,470772d4dc47643954caa3253c4ff446,c3093a9c8fc85909e015d603fcb7533e
SAMN32301377,SRR22801861,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/061/SRR22801861/SRR22801861_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/061/SRR22801861/SRR22801861_2.fastq.gz,3475536a433b588708f0e16df985b2dd,baa08d1143407a49d67ee7e307f1bb03
SAMN32301378,SRR22801860,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/060/SRR22801860/SRR22801860_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/060/SRR22801860/SRR22801860_2.fastq.gz,50062ed3c4e76296b14824efd3088e6d,7bcad25390879686b7e925f9ebabbe63
SAMN32301379,SRR22801859,PAIRED,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/059/SRR22801859/SRR22801859_1.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR228/059/SRR22801859/SRR22801859_2.fastq.gz,cb92940a90606eef7ea5ffeb029aad4b,b7f24ee067c8b6c648b5df998daf89f3
